emotion,text
Negative,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
Positive,"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat"
Negative,I'm so very tired...and have insomnia.
Negative,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."
Negative,people in my house do not know how to close doors
Positive,Why am I completing facebook quizzes at this time of the morning... especially a friday morning
Negative,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death
Negative,Had to cancel wow for now
Negative,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio
Negative,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
Negative,"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO."
Negative,@__sugar oh no  i am always here ;) &lt;3
Positive,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
Positive,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
Negative,Up late with nothin 2 do.....
Negative,i think the vog is making me sicker than i think. feeling slightly achy
Negative,i am doing homework it sux big time maths is the worst!!!!!!
Negative,sometimes i wish things could go back to the way they were the beginning of last summer
Negative,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't"
Negative,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."
Positive,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"
Negative,i'm sooooooooooooo confused
Negative,"Work day 7 of 7,"
Positive,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
Negative,"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban"
Negative,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
Positive,"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today"
Negative,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
Negative,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with
Positive,@FoxxFiles aw u can't let me in on the secret!
Positive,"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like."
Negative,"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ..."
Negative,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
Negative,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
Negative,@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz
Negative,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
Negative,It's pissing me off and not letting me follow ericka
Negative,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
Negative,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
Positive,is thinking so much and i'm at work
Negative,I have forgot the live with the Jonas Brothers on Facebook
Negative,I haven't seen Muffin in two whole days!
Negative,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
Positive,my gap year is going so quick
Negative,"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today...."
Negative,my twitter has been hacked again
Negative,Just found mj mouse flats at DJs. Of course there are none left in my size
Negative,@lanacaitlin  hahaha well its try its so ugly
Negative,"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you"
Positive,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though
Positive,@qi_tah oh no.  *hugs*
Negative,@xoshayzers i knoww  things won't be the samee &lt;/3
Negative,"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat."
Positive,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
Negative,"Okay, so twitter suddenly changed, how do I respond to messages now"
Negative,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!
Negative,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
Negative,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
Negative,sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend
Negative,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu
Negative,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
Negative,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
Positive,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.
Negative,my roommate @tess_tickle loves to ignore me
Positive,"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha"
Negative,my teeth and head hurts
Negative,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
Negative,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
Negative,Waiting in line @ tryst
Negative,Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!
Negative,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover
Negative,I need to be held...  Gnite.
Negative,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents"
Negative,no more arrested development. i am sad.
Negative,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
Negative,I feel so deflated. No more doggy.
Negative,@blood_rain i wanna see her hair  hows everyone?
Negative,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
Negative,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
Negative,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
Negative,Aww...  Pray for the arroyo family everyone!
Negative,Fuuudge. Movie store is closed
Negative,ALO is so sad and quiet and empty tonight
Negative,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set"
Negative,@wuzzyangel You never answered your DM I sent you....   I need your info...
Negative,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...
Negative,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
Negative,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!
Negative,@jose3030 I didn't think anyone caught that
Negative,Sad that Christian Lacroix had to file bankruptcy
Negative,I dont feel good AT ALL. fuckkk
Negative,why did i agree to work a double shift
Negative,looks like i'll never go to the zoo
Negative,@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!
Negative,@Moss1982 bad times?
Negative,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor
Negative,Have to go to the dreaded DMV tomorrow
Positive,english class! working on interactive orals
Negative,@SharonHayes Thank you for the rec but that doesn't work
Negative,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie
Negative,I don't know how ima work out tomorrow wit my body dis sore  ugh
Negative,I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this.
Negative,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
Negative,I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.
Negative,"Lady across the way had a miscarriage, say a prayer"
Negative,God I just want to sleep.
Negative,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??
Negative,I feel so deflated. No more doggy.
Negative,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes
Negative,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"
Negative,is feeling bad  just got bad news about my Mum
Negative,@RealBlackWidow But but I dun wanna
Negative,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!
Negative,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
Negative,don't feel like working  I think I tweet this too often!
Negative,feels sick to my stomach and idkk whyy
Negative,vineri...nimic special sau probabil un alt weekend pierdut...
Positive,@justintevya - dude i just saw your SF pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho
Positive,is home.  safely... but hungry
Negative,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER"
Negative,"got to final table, but....went out third.  Don't think I'll be getting my free seat"
Negative,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!
Positive,FB is boring   and i wanna sing RIGHT NOW..! *-*
Negative,@judyrey  The link doesn't work
Negative,The humpalow um ya I think so... Cell is dying
Negative,Last day at work...Sick to the bone
Negative,i feel like I'm on house arrest.
Positive,@heavenjones ur supposed to be in BK tho
Negative,@cosmiclagoon Did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? It is very sad
Positive,Oh no!  Nighty night.
Positive,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!
Negative,my stupid tooooth hurts
Positive,@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is
Negative,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.
Negative,It's a sad economy. Just heard of another friend losing their job.  so sad. But just a reminder that...
Negative,@jarekpastor I'm just starting to feel really panicky and anxious that something bad has happened cos it seems like it's been ages
Negative,my dog ran awayyy
Negative,@all_is_one84 Those suck so bad.
Negative,"I'm back. top molar extracted  swollen face, all numb.  But no more toothache or sinus pain."
Positive,"just finished 8 hours of Texas Life Insurance CE tonight, 22 more hours to go"
Negative,does anyone know any good rap songs? i need to make a rap/fun cd and i have no idea  helllllpppp
Positive,I want to go to Peru this summer ahhhhhhh! Hopefully! Yesyesyes! I miss it over there!!!
Negative,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!
Negative,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.
Negative,@Penguin_J heehee. i love you! i am tired.
Negative,my mobile phone refuses to charge!!  either the battery is broken or the chargerrr ( booooo
Negative,@Kirsten613 oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something
Negative,"@kimberly625 hmmm, I thought u were sleeping!! Too bad I can't see those videos until tomorrow night."
Negative,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day"
Negative,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job..."
Positive,"@AnthonyLucas @iainfunnell Yeah, physically moving too!  Apparently we'll be reporting directly to Mr. Hayward..."
Negative,@charloro jealous  it looks like schindler's list in toronto
Positive,I want another tatt
Positive,"So, I need to make a lot of money tomorrow"
Negative,@joiskol  being in your room makes me sad.
Negative,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I'm not sure if I can sleep at all."
Negative,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks
Negative,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!"
Positive,@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast.
Negative,@meljachin: eww. dislike
Negative,Tactical mistake: going to the city library and buying milk. Who knew? OUCH OUCH OUCH. Maybe a good thing I didn't try for uni.
Negative,"@SuzyDunkley sorry bout the cat,"
Negative,my stomach feels like it's touching the ground..i'm SO full
Positive,Pug just woke me from an incredible sleep!
Positive,@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!
Negative,Sooo much work so little time
Negative,missed iron chef
Negative,@thevowel the DS version sucks
Negative,what a bad day
Positive,@lilxamyx08 i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun
Negative,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs
Negative,"Ugh, my internet was down!"
Positive,omg i didnt tweet all that much today.... *sadness*
Negative,is feeling so giddy and wanna go home.
Negative,Up and packing. Its the last day of youth camp
Negative,Somebody please save the polar bears!
Positive,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol
Positive,@CrazyBallerina Not really sleepy ...bored is the right word ... again not much work
Negative,It has come to my attention from a 16yo friend that I've recently gained a TON of weight. He didn't know it was me.
Negative,guess im staying home tonight...no movie-ing for me
Negative,went to the cd store to search for the cd. But
Negative,@BuzzEdition reminds me of the weather a month ago it was horrible  I hope all is well hugs
Negative,I miss my mom..  &quot;May angels lead you in&quot;
Positive,there's really no android twitter app of Tweetie's calibre
Negative,on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;
Negative,@chocolovere i feel the same way every day
Negative,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.
Negative,Sleppytime. Really missing my godfather right now. Love you Wayne
Negative,So have a headache right now and it sucks
Negative,@JayDz hope ya sleepin well  guys still here
Positive,"i should be finished.... but i'm not.  color drawing, here i come."
Negative,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please"
Negative,"comfort food of the day: pan mee. though, it didnt taste any good.."
Negative,damn being drunk and hot sucks
Negative,misses my baby.
Negative,is not sleeping because he has paperwork to do.
Negative,Showered in ice-cold water. Sweating now. Means one thing: I'm sick
Negative,"midnight cry.. wish the person I wanted, wanted me right now"
Negative,I'm poorly and can't sleep
Negative,Went to pole class. Feeling discouraged. I am hopeless when it cones to dancing or sexy moves or spreading my legs.
Negative,"@RoasterBoy And these poor, unfortunate souls don't appear to have any pants at all...  ? http://blip.fm/~78qvz"
Negative,@damohopo @StephanieEllen If I told you how often I wash my hair you would never speak to me again
Negative,"Looks like another sleepless night dedicated to homework. Sorry in advance, Ms. Chapman."
Negative,@jessicaduncan http://twitpic.com/662vk -  WHY DO U LOT MOCK ME!!!
Negative,didnt say goodnight to you
Negative,@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw]
Negative,has work tom.
Positive,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now"
Negative,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm
Negative,fuckin'm transtelecom
Negative,"is really, really bored... I guess I will go to bed"
Negative,@Syo_of_the_dead I met a stranger just 10 min ago. He was stalking me at the store
Positive,@ModelTheany  tee we beefin....what was u supposed to do before leavin????
Negative,Sometimes the things you say hurt the ones you love most unintentionally.  And you can never ever take it back or fix it.
Negative,@nickkk_ that sucks!
Negative,Having Fever  dont feel to work
Negative,"Taking Horse Pills, hoping I can get some sleep tonight"
Negative,missing @MeLDiBiAsE...6 days can't pass quick enough
Negative,@juliaiiivir Hey! That's my school! I hate that place.
Negative,"Working from home today, my back is killing me  Doctor and then physio after later today."
Positive,"@ddlovato demi, just say hi to me and it`s enough. just replay to me please  love you so much!!!"
Negative,"Looks like it's going to be too nice to work today, how annoying as I have no choice"
Negative,is desperatly hoping my dad takes me to vanessa's game
Negative,@pb_and_jay hi!  Fuck your job!
Negative,Missing you all deeply
Positive,"@mrssunshine96 big now!!! Vanessa is going to be 3 in September, its going by so fast!  its hard cuz Im workin so much, I miss out on alot"
Negative,"@Ravels sniff sniff  take care ravels! Hopefully we'll be chatting again soon. In the mean time, I'll HELLA miss you."
Negative,"My nose is runny, my head is pounding, and teeth hurt like a bitch. MAN. @-) I feel awful.  =(("
Negative,I don't want her to leave..
Positive,Headin home...Refreshed my mind and soul justa lil bit...Bac to reality.
Positive,"good lord, just seen the agency work for our upcoming Open Day. Money for Jam"
Negative,Working   But it's Fridaaaayyyyy
Negative,At the Grove for 'Drag Me to Hell.' I hope that it doesn't suck.
Negative,@NOLAevol so i feel like shit for saying HAPPY BELATED BIRFDAYY.. i'm only a month late
Negative,"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack"
Positive,Got home from work @ 9:45 and JUST finished cleaning. Now I need to eat dinner and don't know what I want!!  Ugh...oh well. Might not eat.
Negative,@WillyNorthpole I wish I was there
Negative,"I miss my little Batty, she was only 3 months old when she got sick, she was always so fun and full of life &lt;3 Even at the very end..."
Negative,morning again! I hate mornings. So offensive!
Negative,bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day
Negative,@brianshead waah. We're no longer your peeps.
Negative,@angelica_yo LOL wow dawg doesn't sound like you're playing!  I feel bad now haha
Positive,Extremly deep
Positive,My little foster kittens are getting big...chubba and Winston are going 2 b missed when they get amazing homes.
Positive,one week till exam block
Negative,hoping i didn't fail english. that would just be sad
